0009000000000000, 0009000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 03D7000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 01AD000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0386000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
003E000000000000, 003E000000000000, 0080000000000000, 004C000000000000, 0007000000000000, 0000000000000000, 0063000000000000, 004E000000000000, 005F000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0010000000000000, 0010000000000000, 0048000000000000, 001F000000000000, 0007000000000000, 0000000000000000, 0028000000000000, 0020000000000000, 002C000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 034B000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 01C9000000000000
008B000000000000, 008B000000000000, 017D000000000000, 0079000000000000, 0001000000000000, 0000000000000000, 0113000000000000, 00D3000000000000, 00AB000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0006000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0026000000000000, 0026000000000000, 0013000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0039000000000000, 0037000000000000, 0015000000000000
0013000000000000, 0013000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0021000000000000, 0008000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0225000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0001000000000000, 0001000000000000, 0001000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0107000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
001B000000000000, 001B000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0034000000000000, 003C000000000000, 000A000000000000
00B3000000000000, 00B3000000000000, 00FE000000000000, 0079000000000000, 0007000000000000, 0000000000000000, 0103000000000000, 00CD000000000000, 00B1000000000000
00D6000000000000, 00D6000000000000, 00FC000000000000, 0062000000000000, 0007000000000000, 0000000000000000, 0183000000000000, 0130000000000000, 00B4000000000000
000D000000000000, 000D000000000000, 001A000000000000, 0012000000000000, 0001000000000000, 0000000000000000, 0050000000000000, 0046000000000000, 0046000000000000
0018000000000000, 0018000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0024000000000000, 0020000000000000, 000A000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0384000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0375000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0371000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01F7000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002B000000000000, 0029000000000000, 0004000000000000
002F000000000000, 002F000000000000, 00FB000000000000, 0050000000000000, 0007000000000000, 0000000000000000, 0054000000000000, 0042000000000000, 0062000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0019000000000000, 0019000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002B000000000000, 0029000000000000, 000C000000000000
00F3000000000000, 00F3000000000000, 0100000000000000, 0075000000000000, 0007000000000000, 0000000000000000, 016F000000000000, 011F000000000000, 00CB000000000000
000B000000000000, 000B000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 0021000000000000, 0002000000000000
0017000000000000, 0017000000000000, 002C000000000000, 0016000000000000, 0007000000000000, 0000000000000000, 0038000000000000, 002E000000000000, 001F000000000000
0017000000000000, 0017000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0021000000000000, 001D000000000000, 000A000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0015000000000000, 0013000000000000, 0014000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0006000000000000
0041000000000000, 0041000000000000, 0080000000000000, 003B000000000000, 0007000000000000, 0000000000000000, 00AF000000000000, 0089000000000000, 0059000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 035C000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0035000000000000, 0035000000000000, 007C000000000000, 003F000000000000, 0007000000000000, 0000000000000000, 005F000000000000, 004B000000000000, 0050000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0397000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 023E000000000000
0035000000000000, 0035000000000000, 0080000000000000, 0041000000000000, 0007000000000000, 0000000000000000, 005D000000000000, 0049000000000000, 0055000000000000
0016000000000000, 0016000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001F000000000000, 001C000000000000, 000A000000000000
0034000000000000, 0034000000000000, 009B000000000000, 005A000000000000, 0001000000000000, 0000000000000000, 005B000000000000, 004B000000000000, 006B000000000000
0009000000000000, 0009000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0016000000000000, 0015000000000000, 0002000000000000
0080000000000000, 0080000000000000, 00FE000000000000, 0073000000000000, 0007000000000000, 0000000000000000, 00D1000000000000, 00A7000000000000, 009D000000000000
0024000000000000, 0024000000000000, 0012000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0033000000000000, 003B000000000000, 0014000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0354000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0384000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
007A000000000000, 007A000000000000, 0080000000000000, 005D000000000000, 0007000000000000, 0000000000000000, 009F000000000000, 0083000000000000, 0078000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0365000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
00A4000000000000, 00A4000000000000, 0180000000000000, 0072000000000000, 0007000000000000, 0000000000000000, 01EC000000000000, 017C000000000000, 00E6000000000000
0026000000000000, 0026000000000000, 004B000000000000, 0035000000000000, 0001000000000000, 0000000000000000, 0057000000000000, 004C000000000000, 0045000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 001C000000000000, 0007000000000000
00BA000000000000, 00BA000000000000, 0100000000000000, 0070000000000000, 0007000000000000, 0000000000000000, 0140000000000000, 0101000000000000, 00AE000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0317000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
0017000000000000, 0017000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 003B000000000000, 0044000000000000, 0004000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0223000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0018000000000000, 0018000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002D000000000000, 0034000000000000, 000A000000000000
0082000000000000, 0082000000000000, 007F000000000000, 0061000000000000, 0007000000000000, 0000000000000000, 00A5000000000000, 0087000000000000, 007B000000000000
001A000000000000, 001A000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0028000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03E3000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0242000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0029000000000000, 0029000000000000, 0015000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0039000000000000, 0042000000000000, 0018000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0306000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 017C000000000000
0009000000000000, 0009000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0016000000000000, 0015000000000000, 0002000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0347000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0026000000000000, 002C000000000000, 0008000000000000
0015000000000000, 0015000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0029000000000000, 002F000000000000, 0008000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0089000000000000, 0089000000000000, 00EE000000000000, 007C000000000000, 0007000000000000, 0000000000000000, 00DD000000000000, 00B1000000000000, 00A5000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0362000000000000, 0000000000000000, 0006000000000000, 0007000000000000, 0003000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0024000000000000, 001F000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 035E000000000000, 0400000000000000, 0182000000000000, 013C000000000000, 0273000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 030D000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 023E000000000000
000D000000000000, 000D000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 0025000000000000, 0002000000000000
0011000000000000, 0011000000000000, 0016000000000000, 0010000000000000, 0001000000000000, 0000000000000000, 004B000000000000, 003D000000000000, 0030000000000000
0015000000000000, 0015000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0025000000000000, 002A000000000000, 0009000000000000
0082000000000000, 0082000000000000, 00FB000000000000, 008D000000000000, 0007000000000000, 0000000000000000, 00A4000000000000, 0086000000000000, 00A0000000000000
000F000000000000, 000F000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 001B000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0334000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0363000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0229000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
000C000000000000, 000C000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001E000000000000, 001D000000000000, 0002000000000000
0016000000000000, 0016000000000000, 009B000000000000, 003B000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 001F000000000000, 0046000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0001000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 032B000000000000, 0400000000000000, 01DC000000000000, 0185000000000000, 01AA000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03A5000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0190000000000000
0004000000000000, 0004000000000000, 0002000000000000, 0000000000000000, 03F1000000000000, 0000000000000000, 036E000000000000, 0311000000000000, 02CB000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 038B000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0023000000000000, 0022000000000000, 0007000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0003000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0374000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0214000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 034D000000000000, 0400000000000000, 0157000000000000, 0116000000000000, 010C000000000000
0017000000000000, 0017000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0025000000000000, 0024000000000000, 000B000000000000
0020000000000000, 0020000000000000, 0010000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0030000000000000, 002E000000000000, 0012000000000000
001B000000000000, 001B000000000000, 003A000000000000, 0024000000000000, 0007000000000000, 0000000000000000, 006A000000000000, 0058000000000000, 0045000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0027000000000000, 0005000000000000
0018000000000000, 0018000000000000, 007D000000000000, 0027000000000000, 0007000000000000, 0000000000000000, 0045000000000000, 0036000000000000, 0038000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0389000000000000, 0000000000000000, 0003000000000000, 0003000000000000, 0000000000000000
00C9000000000000, 00C9000000000000, 0080000000000000, 0046000000000000, 0007000000000000, 0000000000000000, 017D000000000000, 0125000000000000, 0095000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03AC000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0255000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0091000000000000, 0091000000000000, 0100000000000000, 0076000000000000, 0007000000000000, 0000000000000000, 00F5000000000000, 00BF000000000000, 00AB000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 030E000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0358000000000000, 0400000000000000, 019B000000000000, 0152000000000000, 0161000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0320000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0023000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0040000000000000, 003D000000000000, 000F000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 001A000000000000, 0006000000000000
00AC000000000000, 00AC000000000000, 0125000000000000, 0071000000000000, 0007000000000000, 0000000000000000, 011C000000000000, 00DE000000000000, 00AF000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 001B000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0007000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0331000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0121000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0396000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 01BB000000000000
0074000000000000, 0074000000000000, 0100000000000000, 007B000000000000, 0007000000000000, 0000000000000000, 010F000000000000, 00DD000000000000, 00BB000000000000
0047000000000000, 0047000000000000, 0110000000000000, 007A000000000000, 0007000000000000, 0000000000000000, 0079000000000000, 0060000000000000, 0092000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0378000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0083000000000000, 0083000000000000, 00AB000000000000, 006A000000000000, 0007000000000000, 0000000000000000, 00C4000000000000, 00A1000000000000, 008F000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 039A000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01F7000000000000
000D000000000000, 000D000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 0019000000000000, 0003000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 00E8000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0020000000000000, 0006000000000000
0015000000000000, 0015000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0029000000000000, 0008000000000000
0050000000000000, 0050000000000000, 00A7000000000000, 0055000000000000, 0007000000000000, 0000000000000000, 008A000000000000, 006F000000000000, 006B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0028000000000000, 0026000000000000, 0008000000000000
000D000000000000, 000D000000000000, 001A000000000000, 0012000000000000, 0001000000000000, 0000000000000000, 0054000000000000, 0049000000000000, 004B000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 01B1000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001E000000000000, 001D000000000000, 0007000000000000
00A8000000000000, 00A8000000000000, 0080000000000000, 004C000000000000, 0001000000000000, 0000000000000000, 0114000000000000, 00E0000000000000, 008A000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0357000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 01E8000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0285000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0020000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0253000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0013000000000000, 0013000000000000, 0046000000000000, 0023000000000000, 0001000000000000, 0000000000000000, 0028000000000000, 001F000000000000, 002D000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0324000000000000, 0400000000000000, 00D2000000000000, 00BB000000000000, 0091000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0007000000000000, 0007000000000000, 000D000000000000, 0009000000000000, 0007000000000000, 0000000000000000, 0025000000000000, 001F000000000000, 0021000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03A5000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0004000000000000, 0004000000000000, 0002000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 000C000000000000, 000C000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0023000000000000, 0029000000000000, 0006000000000000
0036000000000000, 0036000000000000, 00B1000000000000, 004E000000000000, 0007000000000000, 0000000000000000, 005A000000000000, 0047000000000000, 0062000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 03A7000000000000, 0000000000000000, 0301000000000000, 02A1000000000000, 0377000000000000
011C000000000000, 011C000000000000, 0180000000000000, 0091000000000000, 0007000000000000, 0000000000000000, 01ED000000000000, 0181000000000000, 00FE000000000000
0064000000000000, 0064000000000000, 009D000000000000, 005C000000000000, 0007000000000000, 0000000000000000, 0097000000000000, 007A000000000000, 006D000000000000
0005000000000000, 0005000000000000, 0004000000000000, 0004000000000000, 0007000000000000, 0000000000000000, 000F000000000000, 000D000000000000, 0004000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 033F000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 0210000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0029000000000000, 0027000000000000, 0008000000000000
0022000000000000, 0022000000000000, 0011000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0033000000000000, 0031000000000000, 0013000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0202000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 027E000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
