0000000000000000, 0000000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 000B000000000000, 0009000000000000, 0001000000000000, 0006000000000000
0000000000000000, 0000000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0018000000000000, 0012000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0029000000000000, 0033000000000000, 0000000000000000, 001C000000000000, 0028000000000000, 0000000000000000, 0027000000000000
0000000000000000, 0000000000000000, 0037000000000000, 0038000000000000, 0000000000000000, 0025000000000000, 0027000000000000, 0002000000000000, 002C000000000000
0000000000000000, 0000000000000000, 0022000000000000, 001F000000000000, 0000000000000000, 0017000000000000, 001C000000000000, 0000000000000000, 0018000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001B000000000000, 003F000000000000, 0000000000000000, 0012000000000000, 0024000000000000, 0001000000000000, 0031000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0016000000000000, 0000000000000000, 0017000000000000, 0016000000000000, 0001000000000000, 0013000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 000A000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0025000000000000, 0028000000000000, 0000000000000000, 0019000000000000, 0021000000000000, 0000000000000000, 001F000000000000
0000000000000000, 0000000000000000, 0016000000000000, 002F000000000000, 0000000000000000, 000F000000000000, 001B000000000000, 0001000000000000, 0024000000000000
0000000000000000, 0000000000000000, 0025000000000000, 0028000000000000, 0000000000000000, 0019000000000000, 0021000000000000, 0000000000000000, 001F000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 000D000000000000, 0007000000000000, 0010000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0024000000000000, 0000000000000000, 0015000000000000, 0019000000000000, 0001000000000000, 001C000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0090000000000000, 0002000000000000, 00C2000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0065000000000000, 0001000000000000, 00B5000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 003C000000000000, 0003000000000000, 0053000000000000
0000000000000000, 0000000000000000, 0020000000000000, 0024000000000000, 0000000000000000, 0016000000000000, 001A000000000000, 0001000000000000, 001C000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0035000000000000, 0004000000000000, 004E000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 010D000000000000, 0004000000000000, 018E000000000000
0000000000000000, 0000000000000000, 001C000000000000, 0022000000000000, 0000000000000000, 0013000000000000, 0018000000000000, 0001000000000000, 001A000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0022000000000000, 0000000000000000, 0016000000000000, 0019000000000000, 0001000000000000, 001B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0027000000000000, 0002000000000000, 0017000000000000
0000000000000000, 0000000000000000, 0020000000000000, 0023000000000000, 0000000000000000, 0016000000000000, 0018000000000000, 0002000000000000, 001B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0015000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0018000000000000, 0020000000000000, 0000000000000000, 0010000000000000, 0015000000000000, 0001000000000000, 0019000000000000
0000000000000000, 0000000000000000, 0018000000000000, 002D000000000000, 0000000000000000, 0010000000000000, 0015000000000000, 0002000000000000, 0023000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0030000000000000, 0002000000000000, 004E000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 000E000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 001A000000000000, 0003000000000000, 0021000000000000
0000000000000000, 0000000000000000, 0018000000000000, 0011000000000000, 0000000000000000, 0010000000000000, 000F000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0018000000000000, 0012000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0018000000000000, 0016000000000000, 0000000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0116000000000000, 0006000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0024000000000000, 0000000000000000, 0000000000000000, 0019000000000000, 0011000000000000, 0007000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0018000000000000, 0016000000000000, 0000000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0020000000000000, 0015000000000000, 0000000000000000, 0016000000000000, 0017000000000000, 0000000000000000, 0010000000000000
0000000000000000, 0000000000000000, 0016000000000000, 002F000000000000, 0000000000000000, 000F000000000000, 001B000000000000, 0001000000000000, 0024000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0086000000000000, 0002000000000000, 013C000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 000B000000000000, 0009000000000000, 0001000000000000, 0006000000000000
0000000000000000, 0000000000000000, 0026000000000000, 0027000000000000, 0000000000000000, 001A000000000000, 001D000000000000, 0001000000000000, 001E000000000000
0000000000000000, 0000000000000000, 0018000000000000, 000C000000000000, 0000000000000000, 0010000000000000, 000D000000000000, 0001000000000000, 0009000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001A000000000000, 003B000000000000, 0000000000000000, 0012000000000000, 0022000000000000, 0001000000000000, 002E000000000000
0000000000000000, 0000000000000000, 001D000000000000, 002F000000000000, 0000000000000000, 0014000000000000, 001D000000000000, 0001000000000000, 0024000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0020000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001C000000000000, 0013000000000000, 0000000000000000, 0013000000000000, 0011000000000000, 0001000000000000, 000F000000000000
0000000000000000, 0000000000000000, 003A000000000000, 0039000000000000, 0000000000000000, 0028000000000000, 0031000000000000, 0000000000000000, 002C000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0019000000000000, 007A000000000000, 0000000000000000, 0011000000000000, 003D000000000000, 0001000000000000, 005F000000000000
0000000000000000, 0000000000000000, 002F000000000000, 002B000000000000, 0000000000000000, 0020000000000000, 0027000000000000, 0001000000000000, 0027000000000000
0000000000000000, 0000000000000000, 0019000000000000, 0029000000000000, 0000000000000000, 0011000000000000, 001A000000000000, 0001000000000000, 0020000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0025000000000000, 0028000000000000, 0000000000000000, 0019000000000000, 0021000000000000, 0000000000000000, 001F000000000000
0000000000000000, 0000000000000000, 001B000000000000, 0021000000000000, 0000000000000000, 0012000000000000, 0017000000000000, 0001000000000000, 001A000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0010000000000000, 0000000000000000, 0000000000000000, 000B000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0020000000000000, 001B000000000000, 0000000000000000, 0016000000000000, 0016000000000000, 0001000000000000, 0015000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 005F000000000000, 0002000000000000, 0083000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0016000000000000, 0008000000000000, 001D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 002D000000000000, 0002000000000000, 0048000000000000
0000000000000000, 0000000000000000, 001E000000000000, 0014000000000000, 0000000000000000, 0014000000000000, 0012000000000000, 0001000000000000, 0010000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0037000000000000, 0000000000000000, 0017000000000000, 0026000000000000, 0000000000000000, 002B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 00C4000000000000, 0003000000000000, 0157000000000000
0000000000000000, 0000000000000000, 0024000000000000, 0029000000000000, 0000000000000000, 0018000000000000, 001D000000000000, 0001000000000000, 0020000000000000
0000000000000000, 0000000000000000, 001A000000000000, 0012000000000000, 0000000000000000, 0012000000000000, 0010000000000000, 0001000000000000, 000E000000000000
0000000000000000, 0000000000000000, 001C000000000000, 0019000000000000, 0000000000000000, 0013000000000000, 0013000000000000, 0001000000000000, 0013000000000000
0000000000000000, 0000000000000000, 0019000000000000, 0022000000000000, 0000000000000000, 0011000000000000, 0017000000000000, 0001000000000000, 001A000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0034000000000000, 0000000000000000, 0017000000000000, 001F000000000000, 0002000000000000, 0028000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0058000000000000, 0002000000000000, 00B3000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 000D000000000000, 0007000000000000, 000E000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0020000000000000, 0019000000000000, 0000000000000000, 0016000000000000, 0019000000000000, 0000000000000000, 0014000000000000
0000000000000000, 0000000000000000, 0024000000000000, 0017000000000000, 0000000000000000, 0019000000000000, 0016000000000000, 0001000000000000, 0012000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0017000000000000, 001F000000000000, 0000000000000000, 000F000000000000, 0014000000000000, 0001000000000000, 0018000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 00CF000000000000, 0003000000000000, 0151000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 002F000000000000, 0001000000000000, 0049000000000000
0000000000000000, 0000000000000000, 0017000000000000, 002F000000000000, 0000000000000000, 0010000000000000, 001C000000000000, 0001000000000000, 0025000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0149000000000000, 0004000000000000, 01C8000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 000B000000000000, 0000000000000000, 0000000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0010000000000000, 0000000000000000, 0000000000000000, 0047000000000000, 0002000000000000, 0058000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0041000000000000, 0003000000000000, 0057000000000000
0000000000000000, 0000000000000000, 0024000000000000, 003F000000000000, 0000000000000000, 0019000000000000, 0027000000000000, 0001000000000000, 0031000000000000
0000000000000000, 0000000000000000, 0029000000000000, 0041000000000000, 0000000000000000, 001C000000000000, 002E000000000000, 0000000000000000, 0033000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 00A3000000000000, 0003000000000000, 00EC000000000000
0000000000000000, 0000000000000000, 0024000000000000, 0000000000000000, 0000000000000000, 0019000000000000, 0011000000000000, 0007000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 000A000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0016000000000000, 0000000000000000, 0017000000000000, 0018000000000000, 0000000000000000, 0011000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0029000000000000, 004A000000000000, 0000000000000000, 001C000000000000, 0031000000000000, 0000000000000000, 0039000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 002C000000000000, 0007000000000000, 0034000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0023000000000000, 0000000000000000, 0016000000000000, 0019000000000000, 0002000000000000, 001D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 000A000000000000, 0001000000000000, 0009000000000000
0000000000000000, 0000000000000000, 001A000000000000, 0029000000000000, 0000000000000000, 0012000000000000, 001A000000000000, 0001000000000000, 0020000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0010000000000000, 0000000000000000, 0000000000000000, 002C000000000000, 0001000000000000, 0023000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 001A000000000000, 0001000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001A000000000000, 0012000000000000, 0000000000000000, 0012000000000000, 0013000000000000, 0000000000000000, 000E000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0013000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0028000000000000, 0000000000000000, 0015000000000000, 001B000000000000, 0001000000000000, 001F000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0031000000000000, 0002000000000000, 0055000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0079000000000000, 0002000000000000, 00A5000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0010000000000000, 0000000000000000, 0000000000000000, 000B000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0016000000000000, 0002000000000000, 000A000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001F000000000000, 003B000000000000, 0000000000000000, 0015000000000000, 0027000000000000, 0000000000000000, 002E000000000000
0000000000000000, 0000000000000000, 0019000000000000, 001C000000000000, 0000000000000000, 0011000000000000, 0014000000000000, 0001000000000000, 0016000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0040000000000000, 0000000000000000, 0015000000000000, 002A000000000000, 0001000000000000, 0038000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0058000000000000, 0002000000000000, 008F000000000000
0000000000000000, 0000000000000000, 0017000000000000, 002D000000000000, 0000000000000000, 000F000000000000, 0019000000000000, 0002000000000000, 0023000000000000
0000000000000000, 0000000000000000, 001D000000000000, 0024000000000000, 0000000000000000, 0014000000000000, 0019000000000000, 0001000000000000, 001C000000000000
0000000000000000, 0000000000000000, 0029000000000000, 002C000000000000, 0000000000000000, 001C000000000000, 0024000000000000, 0000000000000000, 0022000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0016000000000000, 0002000000000000, 000F000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 004A000000000000, 0002000000000000, 0088000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 000B000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0029000000000000, 0041000000000000, 0000000000000000, 001C000000000000, 0029000000000000, 0001000000000000, 0032000000000000
0000000000000000, 0000000000000000, 0019000000000000, 0012000000000000, 0000000000000000, 0011000000000000, 0010000000000000, 0001000000000000, 000E000000000000
0000000000000000, 0000000000000000, 001A000000000000, 0022000000000000, 0000000000000000, 0012000000000000, 0015000000000000, 0003000000000000, 001B000000000000
0000000000000000, 0000000000000000, 0019000000000000, 0016000000000000, 0000000000000000, 0011000000000000, 0012000000000000, 0001000000000000, 0011000000000000
0000000000000000, 0000000000000000, 001D000000000000, 0033000000000000, 0000000000000000, 0014000000000000, 001F000000000000, 0001000000000000, 0028000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0055000000000000, 0002000000000000, 0096000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001A000000000000, 0025000000000000, 0000000000000000, 0012000000000000, 0018000000000000, 0001000000000000, 001D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 00AD000000000000, 0004000000000000, 011B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 006F000000000000, 0001000000000000, 00E2000000000000
0000000000000000, 0000000000000000, 0019000000000000, 002C000000000000, 0000000000000000, 0011000000000000, 001B000000000000, 0001000000000000, 0022000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0039000000000000, 0001000000000000, 003B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0024000000000000, 001D000000000000, 0000000000000000, 0018000000000000, 001B000000000000, 0000000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0024000000000000, 0000000000000000, 0000000000000000, 0019000000000000, 0011000000000000, 0007000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0010000000000000, 0001000000000000, 0011000000000000
0400000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0008000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
